Section,Key,Value
Summary,sport,Football (Soccer)
Summary,total_frames,40
Summary,overall_score,6.4
Summary,errors,Knee valgus (left) - keep knees aligned over toes; Knee angle outside safe range (landing/load); Good equipment interaction - limb near target

Frame,overall_score,movement,errors
0,65.1,general,Knee valgus (left) - keep knees aligned over toes; Knee angle outside safe range (landing/load)
1,64.7,general,Knee valgus (left) - keep knees aligned over toes; Knee angle outside safe range (landing/load)
2,64.4,general,Knee valgus (left) - keep knees aligned over toes; Knee angle outside safe range (landing/load)
3,64.4,general,Knee valgus (left) - keep knees aligned over toes; Knee angle outside safe range (landing/load)
4,64.5,general,Knee valgus (left) - keep knees aligned over toes; Knee angle outside safe range (landing/load)
5,64.4,general,Knee valgus (left) - keep knees aligned over toes; Knee angle outside safe range (landing/load)
6,64.2,general,Knee valgus (left) - keep knees aligned over toes; Knee angle outside safe range (landing/load)
7,64.1,general,Knee valgus (left) - keep knees aligned over toes; Knee angle outside safe range (landing/load)
8,64.1,general,Knee valgus (left) - keep knees aligned over toes; Knee angle outside safe range (landing/load)
9,64.1,general,Knee valgus (left) - keep knees aligned over toes; Knee angle outside safe range (landing/load)
10,64.0,general,Knee valgus (left) - keep knees aligned over toes; Knee angle outside safe range (landing/load)
11,64.0,general,Knee valgus (left) - keep knees aligned over toes; Knee angle outside safe range (landing/load)
12,63.9,general,Knee valgus (left) - keep knees aligned over toes; Knee angle outside safe range (landing/load)
13,64.1,general,Knee valgus (left) - keep knees aligned over toes; Good equipment interaction - limb near target; Knee angle outside safe range (landing/load)
14,63.9,general,Knee valgus (left) - keep knees aligned over toes; Good equipment interaction - limb near target; Knee angle outside safe range (landing/load)
15,63.8,general,Knee valgus (left) - keep knees aligned over toes; Knee angle outside safe range (landing/load)
16,63.7,general,Knee valgus (left) - keep knees aligned over toes; Knee angle outside safe range (landing/load)
17,63.8,general,Knee valgus (left) - keep knees aligned over toes; Knee angle outside safe range (landing/load)
18,63.8,general,Knee valgus (left) - keep knees aligned over toes; Knee angle outside safe range (landing/load)
19,63.9,general,Knee valgus (left) - keep knees aligned over toes; Knee angle outside safe range (landing/load)
20,63.9,general,Knee valgus (left) - keep knees aligned over toes; Knee angle outside safe range (landing/load)
21,63.9,general,Knee valgus (left) - keep knees aligned over toes; Knee angle outside safe range (landing/load)
22,63.9,general,Knee valgus (left) - keep knees aligned over toes; Knee angle outside safe range (landing/load)
23,64.0,general,Knee valgus (left) - keep knees aligned over toes; Good equipment interaction - limb near target; Knee angle outside safe range (landing/load)
24,64.0,general,Knee valgus (left) - keep knees aligned over toes; Good equipment interaction - limb near target; Knee angle outside safe range (landing/load)
25,64.0,general,Knee valgus (left) - keep knees aligned over toes; Good equipment interaction - limb near target; Knee angle outside safe range (landing/load)
26,64.1,general,Knee valgus (left) - keep knees aligned over toes; Good equipment interaction - limb near target; Knee angle outside safe range (landing/load)
27,64.0,general,Knee valgus (left) - keep knees aligned over toes; Good equipment interaction - limb near target; Knee angle outside safe range (landing/load)
28,64.0,general,Knee valgus (left) - keep knees aligned over toes; Good equipment interaction - limb near target; Knee angle outside safe range (landing/load)
29,64.0,general,Knee valgus (left) - keep knees aligned over toes; Good equipment interaction - limb near target; Knee angle outside safe range (landing/load)
30,64.0,general,Knee valgus (left) - keep knees aligned over toes; Good equipment interaction - limb near target; Knee angle outside safe range (landing/load)
31,64.0,general,Knee valgus (left) - keep knees aligned over toes; Good equipment interaction - limb near target; Knee angle outside safe range (landing/load)
32,64.1,general,Knee valgus (left) - keep knees aligned over toes; Good equipment interaction - limb near target; Knee angle outside safe range (landing/load)
33,64.0,general,Knee valgus (left) - keep knees aligned over toes; Good equipment interaction - limb near target; Knee angle outside safe range (landing/load)
34,64.0,general,Knee valgus (left) - keep knees aligned over toes; Good equipment interaction - limb near target; Knee angle outside safe range (landing/load)
35,64.1,general,Knee valgus (left) - keep knees aligned over toes; Good equipment interaction - limb near target; Knee angle outside safe range (landing/load)
36,64.1,general,Knee valgus (left) - keep knees aligned over toes; Good equipment interaction - limb near target; Knee angle outside safe range (landing/load)
37,64.1,general,Knee valgus (left) - keep knees aligned over toes; Good equipment interaction - limb near target; Knee angle outside safe range (landing/load)
38,64.0,general,Knee valgus (left) - keep knees aligned over toes; Good equipment interaction - limb near target; Knee angle outside safe range (landing/load)
39,64.0,general,Knee valgus (left) - keep knees aligned over toes; Good equipment interaction - limb near target; Knee angle outside safe range (landing/load)

