Section,Key,Value
Summary,sport,Football (Soccer)
Summary,total_frames,80
Summary,overall_score,7.2
Summary,errors,Knee valgus (left) - keep knees aligned over toes; Knee angle outside safe range (landing/load); Good equipment interaction - limb near target; Unstable posture; Knee valgus (right) - keep knees aligned over toes; No body detected - ensure full body is visible in frame

Frame,overall_score,movement,errors
0,64.5,general,Knee valgus (left) - keep knees aligned over toes; Knee angle outside safe range (landing/load)
1,74.8,general,Knee valgus (left) - keep knees aligned over toes; Good equipment interaction - limb near target; Knee angle outside safe range (landing/load)
2,71.0,general,Knee valgus (left) - keep knees aligned over toes; Good equipment interaction - limb near target; Knee angle outside safe range (landing/load)
3,71.8,general,Knee valgus (left) - keep knees aligned over toes; Good equipment interaction - limb near target; Knee angle outside safe range (landing/load)
4,71.4,swing,Knee valgus (left) - keep knees aligned over toes; Good equipment interaction - limb near target; Knee angle outside safe range (landing/load)
5,77.1,swing,Knee valgus (left) - keep knees aligned over toes; Good equipment interaction - limb near target; Knee angle outside safe range (landing/load)
6,78.6,swing,Knee valgus (left) - keep knees aligned over toes; Good equipment interaction - limb near target; Knee angle outside safe range (landing/load)
7,74.8,swing,Knee valgus (left) - keep knees aligned over toes; Good equipment interaction - limb near target; Knee angle outside safe range (landing/load)
8,76.4,swing,Knee valgus (left) - keep knees aligned over toes; Good equipment interaction - limb near target; Knee angle outside safe range (landing/load)
9,61.8,swing,Knee valgus (left) - keep knees aligned over toes; Knee angle outside safe range (landing/load)
10,59.5,swing,Knee valgus (left) - keep knees aligned over toes; Knee angle outside safe range (landing/load)
11,56.3,swing,Knee valgus (left) - keep knees aligned over toes; Knee angle outside safe range (landing/load)
12,74.9,swing,Knee valgus (left) - keep knees aligned over toes; Knee angle outside safe range (landing/load)
13,85.4,jump_header,Knee valgus (left) - keep knees aligned over toes; Knee angle outside safe range (landing/load)
14,82.7,jump_header,Knee valgus (left) - keep knees aligned over toes; Good equipment interaction - limb near target; Knee angle outside safe range (landing/load)
15,81.8,jump_header,Knee valgus (left) - keep knees aligned over toes; Good equipment interaction - limb near target; Knee angle outside safe range (landing/load)
16,84.8,jump_header,Knee angle outside safe range (landing/load)
17,79.2,jump_header,Unstable posture; Knee angle outside safe range (landing/load)
18,60.9,jump_header,Unstable posture; Knee angle outside safe range (landing/load)
19,60.4,jump_header,Unstable posture; Knee angle outside safe range (landing/load)
20,56.7,jump_header,Knee valgus (left) - keep knees aligned over toes; Unstable posture; Knee angle outside safe range (landing/load)
21,57.9,jump_header,Knee valgus (left) - keep knees aligned over toes; Knee angle outside safe range (landing/load)
22,74.4,jump_header,Knee valgus (left) - keep knees aligned over toes; Good equipment interaction - limb near target; Knee angle outside safe range (landing/load)
23,76.5,jump_header,Knee valgus (left) - keep knees aligned over toes; Good equipment interaction - limb near target; Knee angle outside safe range (landing/load)
24,73.2,jump_header,Knee valgus (left) - keep knees aligned over toes; Good equipment interaction - limb near target; Knee angle outside safe range (landing/load)
25,74.3,jump_header,Knee valgus (left) - keep knees aligned over toes; Good equipment interaction - limb near target; Knee angle outside safe range (landing/load)
26,75.3,jump_header,Good equipment interaction - limb near target; Knee angle outside safe range (landing/load)
27,71.9,jump_header,Unstable posture; Knee angle outside safe range (landing/load)
28,69.0,jump_header,Unstable posture; Good equipment interaction - limb near target; Knee angle outside safe range (landing/load)
29,68.8,jump_header,Unstable posture; Knee angle outside safe range (landing/load)
30,58.1,jump_header,Knee valgus (right) - keep knees aligned over toes; Good equipment interaction - limb near target; Knee angle outside safe range (landing/load)
31,56.0,jump_header,Knee valgus (right) - keep knees aligned over toes; Good equipment interaction - limb near target; Knee angle outside safe range (landing/load)
32,53.9,jump_header,Knee valgus (right) - keep knees aligned over toes; Good equipment interaction - limb near target; Knee angle outside safe range (landing/load)
33,49.5,jump_header,Knee valgus (right) - keep knees aligned over toes; Good equipment interaction - limb near target; Knee angle outside safe range (landing/load)
34,51.2,jump_header,Knee valgus (right) - keep knees aligned over toes; Good equipment interaction - limb near target; Knee angle outside safe range (landing/load)
35,51.5,jump_header,Knee valgus (right) - keep knees aligned over toes; Unstable posture; Good equipment interaction - limb near target; Knee angle outside safe range (landing/load)
36,47.2,jump_header,Knee valgus (right) - keep knees aligned over toes; Unstable posture; Knee angle outside safe range (landing/load)
37,47.0,jump_header,Knee valgus (right) - keep knees aligned over toes; Unstable posture; Knee angle outside safe range (landing/load)
38,0.0,jump_header,No body detected - ensure full body is visible in frame
39,78.5,jump_header,Good equipment interaction - limb near target; Knee angle outside safe range (landing/load)
40,76.9,jump_header,Good equipment interaction - limb near target; Knee angle outside safe range (landing/load)
41,77.0,jump_header,Good equipment interaction - limb near target; Knee angle outside safe range (landing/load)
42,81.9,jump_header,Good equipment interaction - limb near target; Knee angle outside safe range (landing/load)
43,82.1,jump_header,Good equipment interaction - limb near target; Knee angle outside safe range (landing/load)
44,84.3,jump_header,Good equipment interaction - limb near target; Knee angle outside safe range (landing/load)
