=== AI Sports Movement Analysis Report ===
Generated,2026-03-14 09:02
Sport,Football (Soccer)
Total Frames,30
Overall Score (0-10),0.0
Video FPS,10.0
Processing Time (sec),47.2

--- Movements Summary ---
Movement,Score (0-10),Frames,Feedback
General,0.0,30,Needs improvement

--- Points of Strength ---
Stable posture

--- Detected Errors ---
No body detected - ensure full body is visible in frame

--- Injury Risk ---
Injury Risk Score (0-100),0

--- Coaching Feedback ---
Error,Feedback
No body detected - ensure full body is visible in frame,Keep knees aligned over toes during striking and landing. Keep the ball in frame - analyze your strike and follow-through.

--- Frame-by-Frame Analysis ---
Frame,overall_score,movement,errors
0,0.0,general,No body detected - ensure full body is visible in frame
1,0.0,general,No body detected - ensure full body is visible in frame
2,0.0,general,No body detected - ensure full body is visible in frame
3,0.0,general,No body detected - ensure full body is visible in frame
4,0.0,general,No body detected - ensure full body is visible in frame
5,0.0,general,No body detected - ensure full body is visible in frame
6,0.0,general,No body detected - ensure full body is visible in frame
7,0.0,general,No body detected - ensure full body is visible in frame
8,0.0,general,No body detected - ensure full body is visible in frame
9,0.0,general,No body detected - ensure full body is visible in frame
10,0.0,general,No body detected - ensure full body is visible in frame
11,0.0,general,No body detected - ensure full body is visible in frame
12,0.0,general,No body detected - ensure full body is visible in frame
13,0.0,general,No body detected - ensure full body is visible in frame
14,0.0,general,No body detected - ensure full body is visible in frame
15,0.0,general,No body detected - ensure full body is visible in frame
16,0.0,general,No body detected - ensure full body is visible in frame
17,0.0,general,No body detected - ensure full body is visible in frame
18,0.0,general,No body detected - ensure full body is visible in frame
19,0.0,general,No body detected - ensure full body is visible in frame
20,0.0,general,No body detected - ensure full body is visible in frame
21,0.0,general,No body detected - ensure full body is visible in frame
22,0.0,general,No body detected - ensure full body is visible in frame
23,0.0,general,No body detected - ensure full body is visible in frame
24,0.0,general,No body detected - ensure full body is visible in frame
25,0.0,general,No body detected - ensure full body is visible in frame
26,0.0,general,No body detected - ensure full body is visible in frame
27,0.0,general,No body detected - ensure full body is visible in frame
28,0.0,general,No body detected - ensure full body is visible in frame
29,0.0,general,No body detected - ensure full body is visible in frame

