=== AI Sports Movement Analysis Report ===
Generated,2026-03-14 09:07
Sport,Swimming
Total Frames,15
Overall Score (0-10),0.0
Video FPS,10.0
Processing Time (sec),10.2

--- Movements Summary ---
Movement,Score (0-10),Frames,Feedback
General,0.0,15,Needs improvement

--- Points of Strength ---
Stable posture

--- Detected Errors ---
No body detected - ensure full body is visible in frame

--- Injury Risk ---
Injury Risk Score (0-100),0

--- Coaching Feedback ---
Error,Feedback
No body detected - ensure full body is visible in frame,"Focus on correct form and gradual improvement. Practice with slow, controlled movements."

--- Frame-by-Frame Analysis ---
Frame,overall_score,movement,errors
0,0.0,general,No body detected - ensure full body is visible in frame
1,0.0,general,No body detected - ensure full body is visible in frame
2,0.0,general,No body detected - ensure full body is visible in frame
3,0.0,general,No body detected - ensure full body is visible in frame
4,0.0,general,No body detected - ensure full body is visible in frame
5,0.0,general,No body detected - ensure full body is visible in frame
6,0.0,general,No body detected - ensure full body is visible in frame
7,0.0,general,No body detected - ensure full body is visible in frame
8,0.0,general,No body detected - ensure full body is visible in frame
9,0.0,general,No body detected - ensure full body is visible in frame
10,0.0,general,No body detected - ensure full body is visible in frame
11,0.0,general,No body detected - ensure full body is visible in frame
12,0.0,general,No body detected - ensure full body is visible in frame
13,0.0,general,No body detected - ensure full body is visible in frame
14,0.0,general,No body detected - ensure full body is visible in frame

