Section,Key,Value
Summary,sport,unknown
Summary,overall_score,0.0
Summary,total_frames,60
Summary,errors,No pose detected
Summary,recommendations,

Frame,overall_score,is_correct,errors
0,0.0,False,No pose detected
1,0.0,False,No pose detected
2,0.0,False,No pose detected
3,0.0,False,No pose detected
4,0.0,False,No pose detected
5,0.0,False,No pose detected
6,0.0,False,No pose detected
7,0.0,False,No pose detected
8,0.0,False,No pose detected
9,0.0,False,No pose detected
10,0.0,False,No pose detected
11,0.0,False,No pose detected
12,0.0,False,No pose detected
13,0.0,False,No pose detected
14,0.0,False,No pose detected
15,0.0,False,No pose detected
16,0.0,False,No pose detected
17,0.0,False,No pose detected
18,0.0,False,No pose detected
19,0.0,False,No pose detected
20,0.0,False,No pose detected
21,0.0,False,No pose detected
22,0.0,False,No pose detected
23,0.0,False,No pose detected
24,0.0,False,No pose detected
25,0.0,False,No pose detected
26,0.0,False,No pose detected
27,0.0,False,No pose detected
28,0.0,False,No pose detected
29,0.0,False,No pose detected
30,0.0,False,No pose detected
31,0.0,False,No pose detected
32,0.0,False,No pose detected
33,0.0,False,No pose detected
34,0.0,False,No pose detected
35,0.0,False,No pose detected
36,0.0,False,No pose detected
37,0.0,False,No pose detected
38,0.0,False,No pose detected
39,0.0,False,No pose detected
40,0.0,False,No pose detected
41,0.0,False,No pose detected
42,0.0,False,No pose detected
43,0.0,False,No pose detected
44,0.0,False,No pose detected
45,0.0,False,No pose detected
46,0.0,False,No pose detected
47,0.0,False,No pose detected
48,0.0,False,No pose detected
49,0.0,False,No pose detected
50,0.0,False,No pose detected
51,0.0,False,No pose detected
52,0.0,False,No pose detected
53,0.0,False,No pose detected
54,0.0,False,No pose detected
55,0.0,False,No pose detected
56,0.0,False,No pose detected
57,0.0,False,No pose detected
58,0.0,False,No pose detected
59,0.0,False,No pose detected
