Section,Key,Value
Summary,sport,unknown
Summary,overall_score,0.0
Summary,total_frames,30
Summary,errors,No pose detected

Frame,overall_score,is_correct,errors
0,0.0,False,No pose detected
1,0.0,False,No pose detected
2,0.0,False,No pose detected
3,0.0,False,No pose detected
4,0.0,False,No pose detected
5,0.0,False,No pose detected
6,0.0,False,No pose detected
7,0.0,False,No pose detected
8,0.0,False,No pose detected
9,0.0,False,No pose detected
10,0.0,False,No pose detected
11,0.0,False,No pose detected
12,0.0,False,No pose detected
13,0.0,False,No pose detected
14,0.0,False,No pose detected
15,0.0,False,No pose detected
16,0.0,False,No pose detected
17,0.0,False,No pose detected
18,0.0,False,No pose detected
19,0.0,False,No pose detected
20,0.0,False,No pose detected
21,0.0,False,No pose detected
22,0.0,False,No pose detected
23,0.0,False,No pose detected
24,0.0,False,No pose detected
25,0.0,False,No pose detected
26,0.0,False,No pose detected
27,0.0,False,No pose detected
28,0.0,False,No pose detected
29,0.0,False,No pose detected
