Section,Key,Value
Summary,sport,boxing
Summary,overall_score,70.2
Summary,total_frames,360
Summary,errors,Hips not level; Shoulders not level; Left knee alignment could improve; Right knee alignment could improve; No pose detected
Summary,recommendations,Hip bridge; Band pull-apart; Wall sit; Wrist curls

Frame,overall_score,is_correct,movement_correct,errors,joint_scores
0,67.3,False,False,Left knee alignment could improve; Right knee alignment could improve,left_knee:24; right_knee:37; shoulders:100; hips:98; left_elbow:79; right_elbow:66
1,66.8,False,False,Left knee alignment could improve; Right knee alignment could improve,left_knee:24; right_knee:36; shoulders:99; hips:95; left_elbow:79; right_elbow:68
2,65.7,False,False,Left knee alignment could improve; Right knee alignment could improve,left_knee:23; right_knee:35; shoulders:95; hips:93; left_elbow:80; right_elbow:69
3,65.9,False,False,Left knee alignment could improve; Right knee alignment could improve,left_knee:23; right_knee:35; shoulders:95; hips:93; left_elbow:80; right_elbow:70
4,66.1,False,False,Left knee alignment could improve; Right knee alignment could improve,left_knee:23; right_knee:35; shoulders:95; hips:92; left_elbow:80; right_elbow:70
5,65.9,False,False,Left knee alignment could improve; Right knee alignment could improve,left_knee:23; right_knee:35; shoulders:95; hips:92; left_elbow:80; right_elbow:71
6,65.7,False,False,Left knee alignment could improve; Right knee alignment could improve,left_knee:24; right_knee:32; shoulders:95; hips:92; left_elbow:81; right_elbow:71
7,65.7,False,False,Left knee alignment could improve; Right knee alignment could improve,left_knee:24; right_knee:33; shoulders:95; hips:93; left_elbow:81; right_elbow:70
8,65.9,False,False,Left knee alignment could improve; Right knee alignment could improve,left_knee:24; right_knee:34; shoulders:95; hips:93; left_elbow:81; right_elbow:70
9,66.6,False,False,Left knee alignment could improve; Right knee alignment could improve,left_knee:24; right_knee:37; shoulders:95; hips:93; left_elbow:81; right_elbow:70
10,66.3,False,False,Left knee alignment could improve; Right knee alignment could improve,left_knee:23; right_knee:36; shoulders:94; hips:93; left_elbow:81; right_elbow:70
11,65.7,False,False,Left knee alignment could improve; Right knee alignment could improve,left_knee:23; right_knee:35; shoulders:94; hips:93; left_elbow:81; right_elbow:69
12,66.0,False,False,Left knee alignment could improve; Right knee alignment could improve,left_knee:23; right_knee:34; shoulders:94; hips:93; left_elbow:81; right_elbow:71
13,65.5,False,False,Left knee alignment could improve; Right knee alignment could improve,left_knee:22; right_knee:33; shoulders:93; hips:93; left_elbow:81; right_elbow:70
14,65.4,False,False,Left knee alignment could improve; Right knee alignment could improve,left_knee:21; right_knee:34; shoulders:93; hips:93; left_elbow:81; right_elbow:71
15,65.3,False,False,Left knee alignment could improve; Right knee alignment could improve,left_knee:21; right_knee:33; shoulders:93; hips:93; left_elbow:81; right_elbow:71
16,65.4,False,False,Left knee alignment could improve; Right knee alignment could improve,left_knee:21; right_knee:33; shoulders:94; hips:93; left_elbow:81; right_elbow:71
17,65.8,False,False,Left knee alignment could improve; Right knee alignment could improve,left_knee:21; right_knee:33; shoulders:95; hips:93; left_elbow:81; right_elbow:71
18,68.1,False,False,Left knee alignment could improve; Right knee alignment could improve,left_knee:22; right_knee:50; shoulders:93; hips:93; left_elbow:81; right_elbow:70
19,67.0,False,False,Left knee alignment could improve; Right knee alignment could improve,left_knee:22; right_knee:43; shoulders:93; hips:93; left_elbow:81; right_elbow:69
20,66.5,False,False,Left knee alignment could improve; Right knee alignment could improve,left_knee:22; right_knee:41; shoulders:93; hips:93; left_elbow:81; right_elbow:70
21,66.4,False,False,Left knee alignment could improve; Right knee alignment could improve,left_knee:22; right_knee:38; shoulders:94; hips:93; left_elbow:81; right_elbow:70
22,66.7,False,False,Left knee alignment could improve; Right knee alignment could improve,left_knee:22; right_knee:39; shoulders:94; hips:93; left_elbow:81; right_elbow:71
23,65.9,False,False,Left knee alignment could improve; Right knee alignment could improve,left_knee:21; right_knee:37; shoulders:93; hips:93; left_elbow:81; right_elbow:70
24,66.3,False,False,Left knee alignment could improve; Right knee alignment could improve,left_knee:22; right_knee:38; shoulders:93; hips:93; left_elbow:81; right_elbow:70
25,65.7,False,False,Left knee alignment could improve; Right knee alignment could improve,left_knee:22; right_knee:35; shoulders:94; hips:93; left_elbow:81; right_elbow:70
26,65.3,False,False,Left knee alignment could improve; Right knee alignment could improve,left_knee:21; right_knee:33; shoulders:93; hips:93; left_elbow:81; right_elbow:70
27,65.4,False,False,Left knee alignment could improve; Right knee alignment could improve,left_knee:21; right_knee:33; shoulders:94; hips:93; left_elbow:81; right_elbow:70
28,65.4,False,False,Left knee alignment could improve; Right knee alignment could improve,left_knee:22; right_knee:34; shoulders:93; hips:93; left_elbow:81; right_elbow:69
29,65.6,False,False,Left knee alignment could improve; Right knee alignment could improve,left_knee:22; right_knee:35; shoulders:94; hips:93; left_elbow:81; right_elbow:69
30,64.9,False,False,Left knee alignment could improve; Right knee alignment could improve,left_knee:21; right_knee:34; shoulders:92; hips:93; left_elbow:81; right_elbow:69
31,65.0,False,False,Left knee alignment could improve; Right knee alignment could improve,left_knee:21; right_knee:33; shoulders:92; hips:93; left_elbow:81; right_elbow:69
32,65.7,False,False,Left knee alignment could improve; Right knee alignment could improve,left_knee:22; right_knee:35; shoulders:94; hips:93; left_elbow:82; right_elbow:69
33,65.8,False,False,Left knee alignment could improve; Right knee alignment could improve,left_knee:21; right_knee:36; shoulders:93; hips:93; left_elbow:82; right_elbow:69
34,66.3,False,False,Left knee alignment could improve; Right knee alignment could improve,left_knee:21; right_knee:36; shoulders:96; hips:94; left_elbow:81; right_elbow:69
35,67.9,False,False,Left knee alignment could improve; Right knee alignment could improve,left_knee:22; right_knee:47; shoulders:94; hips:93; left_elbow:82; right_elbow:69
36,67.4,False,False,Left knee alignment could improve; Right knee alignment could improve,left_knee:22; right_knee:42; shoulders:95; hips:93; left_elbow:82; right_elbow:70
37,66.6,False,False,Left knee alignment could improve; Right knee alignment could improve,left_knee:21; right_knee:39; shoulders:94; hips:93; left_elbow:81; right_elbow:70
38,66.9,False,False,Left knee alignment could improve; Right knee alignment could improve,left_knee:21; right_knee:37; shoulders:95; hips:93; left_elbow:82; right_elbow:73
39,66.7,False,False,Left knee alignment could improve; Right knee alignment could improve,left_knee:21; right_knee:38; shoulders:94; hips:93; left_elbow:82; right_elbow:72
40,67.4,False,False,Left knee alignment could improve; Right knee alignment could improve,left_knee:22; right_knee:39; shoulders:96; hips:94; left_elbow:82; right_elbow:71
41,67.3,False,False,Left knee alignment could improve; Right knee alignment could improve,left_knee:23; right_knee:40; shoulders:96; hips:94; left_elbow:82; right_elbow:70
42,67.2,False,False,Left knee alignment could improve; Right knee alignment could improve,left_knee:23; right_knee:40; shoulders:96; hips:93; left_elbow:82; right_elbow:69
43,68.1,False,False,Left knee alignment could improve; Right knee alignment could improve,left_knee:23; right_knee:45; shoulders:95; hips:93; left_elbow:82; right_elbow:70
44,67.2,False,False,Left knee alignment could improve; Right knee alignment could improve,left_knee:23; right_knee:41; shoulders:94; hips:93; left_elbow:82; right_elbow:70
45,66.8,False,False,Left knee alignment could improve; Right knee alignment could improve,left_knee:23; right_knee:39; shoulders:94; hips:93; left_elbow:82; right_elbow:70
46,65.8,False,False,Left knee alignment could improve; Right knee alignment could improve,left_knee:22; right_knee:36; shoulders:94; hips:93; left_elbow:82; right_elbow:68
47,66.3,False,False,Left knee alignment could improve; Right knee alignment could improve,left_knee:22; right_knee:37; shoulders:94; hips:93; left_elbow:82; right_elbow:69
48,65.7,False,False,Left knee alignment could improve; Right knee alignment could improve,left_knee:21; right_knee:35; shoulders:93; hips:93; left_elbow:82; right_elbow:69
49,65.3,False,False,Left knee alignment could improve; Right knee alignment could improve,left_knee:22; right_knee:32; shoulders:94; hips:92; left_elbow:82; right_elbow:69
50,65.2,False,False,Left knee alignment could improve; Right knee alignment could improve,left_knee:21; right_knee:33; shoulders:93; hips:92; left_elbow:82; right_elbow:70
51,65.9,False,False,Left knee alignment could improve; Right knee alignment could improve,left_knee:21; right_knee:34; shoulders:95; hips:93; left_elbow:82; right_elbow:69
52,65.4,False,False,Left knee alignment could improve; Right knee alignment could improve,left_knee:20; right_knee:33; shoulders:94; hips:93; left_elbow:82; right_elbow:70
53,65.2,False,False,Left knee alignment could improve; Right knee alignment could improve,left_knee:20; right_knee:32; shoulders:95; hips:93; left_elbow:83; right_elbow:69
54,66.0,False,False,Left knee alignment could improve; Right knee alignment could improve,left_knee:21; right_knee:34; shoulders:96; hips:94; left_elbow:82; right_elbow:69
55,66.8,False,False,Left knee alignment could improve; Right knee alignment could improve,left_knee:21; right_knee:39; shoulders:95; hips:94; left_elbow:82; right_elbow:69
