Section,Key,Value
Summary,sport,boxing
Summary,overall_score,76.2
Summary,total_frames,335
Summary,errors,No pose detected; Right knee alignment could improve; Left knee alignment could improve
Summary,recommendations,Wall sit

Frame,overall_score,is_correct,movement_correct,errors,joint_scores
0,76.7,True,True,Right knee alignment could improve,left_knee:88; right_knee:4; shoulders:95; hips:98; left_elbow:97; right_elbow:79
1,77.3,True,True,Right knee alignment could improve,left_knee:79; right_knee:0; shoulders:91; hips:98; left_elbow:96; right_elbow:99
2,74.7,True,True,Right knee alignment could improve,left_knee:72; right_knee:0; shoulders:91; hips:98; left_elbow:97; right_elbow:90
3,72.7,False,False,Left knee alignment could improve; Right knee alignment could improve,left_knee:58; right_knee:0; shoulders:88; hips:99; left_elbow:98; right_elbow:92
4,73.2,False,False,Left knee alignment could improve; Right knee alignment could improve,left_knee:60; right_knee:0; shoulders:91; hips:100; left_elbow:99; right_elbow:90
5,76.6,False,False,Left knee alignment could improve; Right knee alignment could improve,left_knee:69; right_knee:9; shoulders:93; hips:99; left_elbow:98; right_elbow:92
6,74.1,False,False,Left knee alignment could improve; Right knee alignment could improve,left_knee:69; right_knee:14; shoulders:93; hips:98; left_elbow:97; right_elbow:74
7,72.4,False,False,Left knee alignment could improve; Right knee alignment could improve,left_knee:53; right_knee:25; shoulders:91; hips:98; left_elbow:91; right_elbow:77
8,70.3,False,False,Left knee alignment could improve; Right knee alignment could improve,left_knee:50; right_knee:25; shoulders:91; hips:97; left_elbow:91; right_elbow:69
9,61.1,False,False,Left knee alignment could improve; Right knee alignment could improve,left_knee:0; right_knee:16; shoulders:91; hips:98; left_elbow:94; right_elbow:69
10,59.5,False,False,Left knee alignment could improve; Right knee alignment could improve,left_knee:0; right_knee:15; shoulders:92; hips:98; left_elbow:93; right_elbow:59
11,60.4,False,False,Left knee alignment could improve; Right knee alignment could improve,left_knee:0; right_knee:18; shoulders:91; hips:97; left_elbow:95; right_elbow:61
12,69.6,False,False,Left knee alignment could improve; Right knee alignment could improve,left_knee:4; right_knee:35; shoulders:91; hips:98; left_elbow:96; right_elbow:93
13,73.4,False,False,Left knee alignment could improve; Right knee alignment could improve,left_knee:20; right_knee:36; shoulders:91; hips:98; left_elbow:100; right_elbow:96
14,85.7,True,True,Right knee alignment could improve,left_knee:84; right_knee:55; shoulders:88; hips:97; left_elbow:99; right_elbow:90
15,84.5,True,True,Right knee alignment could improve,left_knee:85; right_knee:55; shoulders:89; hips:97; left_elbow:97; right_elbow:83
16,76.0,True,True,Right knee alignment could improve,left_knee:94; right_knee:3; shoulders:94; hips:98; left_elbow:98; right_elbow:69
17,79.5,True,True,Right knee alignment could improve,left_knee:96; right_knee:0; shoulders:96; hips:99; left_elbow:97; right_elbow:89
18,76.1,True,True,Right knee alignment could improve,left_knee:95; right_knee:0; shoulders:97; hips:97; left_elbow:90; right_elbow:78
19,76.7,True,True,Right knee alignment could improve,left_knee:100; right_knee:0; shoulders:97; hips:96; left_elbow:91; right_elbow:76
20,71.0,True,True,Right knee alignment could improve,left_knee:73; right_knee:0; shoulders:98; hips:95; left_elbow:84; right_elbow:75
21,71.4,True,True,Right knee alignment could improve,left_knee:72; right_knee:0; shoulders:98; hips:96; left_elbow:89; right_elbow:72
22,78.1,False,False,Left knee alignment could improve; Right knee alignment could improve,left_knee:61; right_knee:61; shoulders:95; hips:94; left_elbow:93; right_elbow:65
23,84.4,True,True,Left knee alignment could improve,left_knee:68; right_knee:71; shoulders:94; hips:94; left_elbow:89; right_elbow:90
24,80.7,True,True,Left knee alignment could improve,left_knee:67; right_knee:84; shoulders:93; hips:93; left_elbow:89; right_elbow:58
25,79.2,True,True,Right knee alignment could improve,left_knee:75; right_knee:66; shoulders:92; hips:93; left_elbow:93; right_elbow:56
26,79.4,True,True,Right knee alignment could improve,left_knee:95; right_knee:51; shoulders:87; hips:90; left_elbow:88; right_elbow:66
27,77.0,True,True,Right knee alignment could improve,left_knee:89; right_knee:45; shoulders:86; hips:87; left_elbow:86; right_elbow:69
28,81.7,True,True,,left_knee:92; right_knee:80; shoulders:84; hips:87; left_elbow:77; right_elbow:68
29,83.3,True,True,,left_knee:84; right_knee:94; shoulders:84; hips:89; left_elbow:79; right_elbow:71
30,68.0,False,False,Left knee alignment could improve,left_knee:13; right_knee:97; shoulders:85; hips:90; left_elbow:57; right_elbow:65
31,66.9,False,False,Left knee alignment could improve,left_knee:2; right_knee:95; shoulders:85; hips:92; left_elbow:60; right_elbow:67
32,56.1,False,False,Left knee alignment could improve; Right knee alignment could improve,left_knee:1; right_knee:0; shoulders:93; hips:100; left_elbow:72; right_elbow:71
33,57.3,False,False,Left knee alignment could improve; Right knee alignment could improve,left_knee:0; right_knee:0; shoulders:93; hips:99; left_elbow:79; right_elbow:72
34,67.1,False,False,Left knee alignment could improve; Right knee alignment could improve,left_knee:0; right_knee:66; shoulders:96; hips:96; left_elbow:75; right_elbow:70
35,66.9,False,False,Left knee alignment could improve; Right knee alignment could improve,left_knee:0; right_knee:61; shoulders:94; hips:97; left_elbow:75; right_elbow:73
36,68.5,False,False,Left knee alignment could improve; Right knee alignment could improve,left_knee:0; right_knee:60; shoulders:96; hips:97; left_elbow:78; right_elbow:79
37,72.6,True,True,Left knee alignment could improve,left_knee:0; right_knee:81; shoulders:96; hips:97; left_elbow:82; right_elbow:79
38,0.0,False,False,No pose detected,
39,79.1,True,True,,left_knee:71; right_knee:75; shoulders:96; hips:98; left_elbow:77; right_elbow:58
40,80.2,True,True,,left_knee:72; right_knee:82; shoulders:94; hips:97; left_elbow:80; right_elbow:56
41,80.8,True,True,,left_knee:72; right_knee:85; shoulders:94; hips:97; left_elbow:81; right_elbow:56
42,88.7,True,True,,left_knee:99; right_knee:98; shoulders:94; hips:97; left_elbow:87; right_elbow:58
43,87.8,True,True,,left_knee:96; right_knee:95; shoulders:94; hips:97; left_elbow:88; right_elbow:57
44,87.9,True,True,,left_knee:92; right_knee:91; shoulders:93; hips:97; left_elbow:90; right_elbow:65
45,89.7,True,True,,left_knee:96; right_knee:97; shoulders:94; hips:96; left_elbow:91; right_elbow:64
46,89.9,True,True,,left_knee:99; right_knee:92; shoulders:95; hips:97; left_elbow:92; right_elbow:64
47,77.9,True,True,Right knee alignment could improve,left_knee:93; right_knee:18; shoulders:95; hips:97; left_elbow:93; right_elbow:71
48,82.1,True,True,Right knee alignment could improve,left_knee:97; right_knee:38; shoulders:94; hips:98; left_elbow:93; right_elbow:73
49,73.8,True,True,Right knee alignment could improve,left_knee:74; right_knee:0; shoulders:93; hips:99; left_elbow:97; right_elbow:79
50,72.6,False,False,Left knee alignment could improve; Right knee alignment could improve,left_knee:63; right_knee:0; shoulders:94; hips:100; left_elbow:97; right_elbow:82
51,75.6,False,False,Left knee alignment could improve; Right knee alignment could improve,left_knee:54; right_knee:22; shoulders:92; hips:100; left_elbow:95; right_elbow:91
52,73.6,False,False,Left knee alignment could improve; Right knee alignment could improve,left_knee:54; right_knee:22; shoulders:93; hips:99; left_elbow:95; right_elbow:79
53,87.1,True,True,Left knee alignment could improve,left_knee:42; right_knee:100; shoulders:93; hips:99; left_elbow:98; right_elbow:90
54,85.4,True,True,Left knee alignment could improve,left_knee:38; right_knee:88; shoulders:93; hips:100; left_elbow:99; right_elbow:94
55,89.5,True,True,Left knee alignment could improve,left_knee:53; right_knee:100; shoulders:93; hips:99; left_elbow:97; right_elbow:95
56,84.9,True,True,Left knee alignment could improve,left_knee:59; right_knee:96; shoulders:93; hips:99; left_elbow:93; right_elbow:69
57,84.3,True,True,Left knee alignment could improve,left_knee:48; right_knee:95; shoulders:90; hips:98; left_elbow:91; right_elbow:83
58,83.4,True,True,Left knee alignment could improve,left_knee:50; right_knee:94; shoulders:92; hips:98; left_elbow:90; right_elbow:77
59,83.1,True,True,Left knee alignment could improve,left_knee:34; right_knee:93; shoulders:94; hips:98; left_elbow:89; right_elbow:91
60,83.8,True,True,Left knee alignment could improve,left_knee:40; right_knee:90; shoulders:94; hips:98; left_elbow:91; right_elbow:90
61,87.1,True,True,Left knee alignment could improve,left_knee:58; right_knee:92; shoulders:93; hips:98; left_elbow:92; right_elbow:91
62,87.5,True,True,Left knee alignment could improve,left_knee:66; right_knee:90; shoulders:92; hips:97; left_elbow:90; right_elbow:90
63,88.5,True,True,,left_knee:80; right_knee:93; shoulders:94; hips:97; left_elbow:89; right_elbow:79
64,89.2,True,True,,left_knee:81; right_knee:97; shoulders:93; hips:97; left_elbow:86; right_elbow:80
65,90.9,True,True,,left_knee:87; right_knee:89; shoulders:96; hips:97; left_elbow:89; right_elbow:88
66,93.2,True,True,,left_knee:98; right_knee:93; shoulders:95; hips:97; left_elbow:89; right_elbow:88
67,87.2,True,True,,left_knee:76; right_knee:78; shoulders:94; hips:98; left_elbow:89; right_elbow:88
68,86.4,True,True,,left_knee:72; right_knee:72; shoulders:95; hips:99; left_elbow:89; right_elbow:91
69,74.3,False,False,Left knee alignment could improve; Right knee alignment could improve,left_knee:63; right_knee:8; shoulders:97; hips:100; left_elbow:87; right_elbow:91
70,71.7,False,False,Left knee alignment could improve; Right knee alignment could improve,left_knee:46; right_knee:10; shoulders:97; hips:100; left_elbow:87; right_elbow:91
71,76.1,False,False,Left knee alignment could improve; Right knee alignment could improve,left_knee:66; right_knee:25; shoulders:97; hips:100; left_elbow:82; right_elbow:86
