Section,Key,Value
Summary,sport,volleyball
Summary,movement,jump
Summary,overall_score,69.0
Summary,total_frames,96
Summary,errors,Poor left hip extension; Left knee valgus - knee collapsing inward; Limited rotation; No pose detected; Unstable posture; Right knee valgus - knee collapsing inward
Summary,recommendations,Hip bridge; Wall sit; Seated torso twist; Single-leg stance; Wrist curls

Frame,overall_score,is_correct,movement_correct,errors,joint_scores
0,64.1,False,False,Left knee valgus - knee collapsing inward,left_knee:50; right_knee:4; shoulders:95; hips:98; ankles:82; left_elbow:97; right_elbow:79
1,67.8,False,False,Left knee valgus - knee collapsing inward,left_knee:50; right_knee:0; shoulders:91; hips:98; ankles:86; left_elbow:96; right_elbow:99
2,67.1,False,False,Left knee valgus - knee collapsing inward,left_knee:50; right_knee:0; shoulders:91; hips:98; ankles:86; left_elbow:97; right_elbow:90
3,70.8,True,True,Left knee valgus - knee collapsing inward,left_knee:50; right_knee:0; shoulders:88; hips:99; ankles:87; left_elbow:98; right_elbow:92
4,70.8,True,True,Left knee valgus - knee collapsing inward; Limited rotation,left_knee:50; right_knee:0; shoulders:91; hips:100; ankles:86; left_elbow:99; right_elbow:90
5,73.6,True,True,Left knee valgus - knee collapsing inward; Limited rotation,left_knee:50; right_knee:9; shoulders:93; hips:99; ankles:98; left_elbow:98; right_elbow:92
6,71.5,True,True,Left knee valgus - knee collapsing inward; Limited rotation,left_knee:50; right_knee:14; shoulders:93; hips:98; ankles:99; left_elbow:97; right_elbow:74
7,72.8,True,True,Left knee valgus - knee collapsing inward,left_knee:50; right_knee:25; shoulders:91; hips:98; ankles:90; left_elbow:91; right_elbow:77
8,71.0,True,True,Left knee valgus - knee collapsing inward,left_knee:50; right_knee:25; shoulders:91; hips:97; ankles:89; left_elbow:91; right_elbow:69
9,66.3,False,False,Left knee valgus - knee collapsing inward,left_knee:0; right_knee:16; shoulders:91; hips:98; ankles:86; left_elbow:94; right_elbow:69
10,63.7,False,False,Left knee valgus - knee collapsing inward,left_knee:0; right_knee:15; shoulders:92; hips:98; ankles:85; left_elbow:93; right_elbow:59
11,62.4,False,False,Left knee valgus - knee collapsing inward,left_knee:0; right_knee:18; shoulders:91; hips:97; ankles:84; left_elbow:95; right_elbow:61
12,68.2,False,False,Left knee valgus - knee collapsing inward,left_knee:4; right_knee:35; shoulders:91; hips:98; ankles:97; left_elbow:96; right_elbow:93
13,70.6,True,True,Left knee valgus - knee collapsing inward,left_knee:20; right_knee:36; shoulders:91; hips:98; ankles:100; left_elbow:100; right_elbow:96
14,71.9,True,True,Left knee valgus - knee collapsing inward,left_knee:50; right_knee:55; shoulders:88; hips:97; ankles:87; left_elbow:99; right_elbow:90
15,69.2,False,False,Left knee valgus - knee collapsing inward,left_knee:50; right_knee:55; shoulders:89; hips:97; ankles:82; left_elbow:97; right_elbow:83
16,66.4,False,False,,left_knee:94; right_knee:3; shoulders:94; hips:98; ankles:72; left_elbow:98; right_elbow:69
17,67.5,False,False,Unstable posture,left_knee:96; right_knee:0; shoulders:96; hips:99; ankles:63; left_elbow:97; right_elbow:89
18,57.2,False,False,Left knee valgus - knee collapsing inward; Unstable posture,left_knee:50; right_knee:0; shoulders:97; hips:97; ankles:43; left_elbow:90; right_elbow:78
19,63.9,False,False,Unstable posture,left_knee:100; right_knee:0; shoulders:97; hips:96; ankles:43; left_elbow:91; right_elbow:76
20,60.3,False,False,Left knee valgus - knee collapsing inward,left_knee:50; right_knee:0; shoulders:98; hips:95; ankles:66; left_elbow:84; right_elbow:75
21,60.8,False,False,Left knee valgus - knee collapsing inward,left_knee:50; right_knee:0; shoulders:98; hips:96; ankles:67; left_elbow:89; right_elbow:72
22,69.4,False,False,Left knee valgus - knee collapsing inward,left_knee:50; right_knee:61; shoulders:95; hips:94; ankles:74; left_elbow:93; right_elbow:65
23,72.4,True,True,Left knee valgus - knee collapsing inward,left_knee:50; right_knee:71; shoulders:94; hips:94; ankles:74; left_elbow:89; right_elbow:90
24,70.4,True,True,Left knee valgus - knee collapsing inward,left_knee:50; right_knee:84; shoulders:93; hips:93; ankles:80; left_elbow:89; right_elbow:58
25,68.1,False,False,Left knee valgus - knee collapsing inward,left_knee:50; right_knee:66; shoulders:92; hips:93; ankles:83; left_elbow:93; right_elbow:56
26,69.9,False,False,,left_knee:95; right_knee:51; shoulders:87; hips:90; ankles:69; left_elbow:88; right_elbow:66
27,67.9,False,False,,left_knee:89; right_knee:45; shoulders:86; hips:87; ankles:66; left_elbow:86; right_elbow:69
