Section,Key,Value
Summary,sport,Football (Soccer)
Summary,total_frames,335
Summary,overall_score,7.1
Summary,errors,انحراف الركبة للداخل (left) - تجنب انحراف الركبة; وضعية غير مستقرة; انحراف الركبة للداخل (right) - تجنب انحراف الركبة; لا يوجد جسم مُكتشف - تأكد من ظهور الجسم بالكامل في الإطار

Frame,overall_score,movement,errors
0,64.5,general,انحراف الركبة للداخل (left) - تجنب انحراف الركبة
1,71.7,general,انحراف الركبة للداخل (left) - تجنب انحراف الركبة
2,67.6,general,انحراف الركبة للداخل (left) - تجنب انحراف الركبة
3,67.9,general,انحراف الركبة للداخل (left) - تجنب انحراف الركبة
4,67.2,swing,انحراف الركبة للداخل (left) - تجنب انحراف الركبة
5,74.9,swing,انحراف الركبة للداخل (left) - تجنب انحراف الركبة
6,66.6,swing,انحراف الركبة للداخل (left) - تجنب انحراف الركبة
7,65.6,swing,انحراف الركبة للداخل (left) - تجنب انحراف الركبة
8,63.1,swing,انحراف الركبة للداخل (left) - تجنب انحراف الركبة
9,57.0,swing,انحراف الركبة للداخل (left) - تجنب انحراف الركبة
10,56.9,swing,انحراف الركبة للداخل (left) - تجنب انحراف الركبة
11,55.2,swing,انحراف الركبة للداخل (left) - تجنب انحراف الركبة
12,84.1,jump_header,انحراف الركبة للداخل (left) - تجنب انحراف الركبة
13,86.4,jump_header,انحراف الركبة للداخل (left) - تجنب انحراف الركبة
14,83.8,jump_header,انحراف الركبة للداخل (left) - تجنب انحراف الركبة
15,79.5,jump_header,انحراف الركبة للداخل (left) - تجنب انحراف الركبة
16,74.1,jump_header,
17,76.4,jump_header,وضعية غير مستقرة
18,50.1,jump_header,انحراف الركبة للداخل (left) - تجنب انحراف الركبة; وضعية غير مستقرة
19,58.5,jump_header,وضعية غير مستقرة
20,54.2,jump_header,انحراف الركبة للداخل (left) - تجنب انحراف الركبة
21,54.8,jump_header,انحراف الركبة للداخل (left) - تجنب انحراف الركبة
22,71.3,jump_header,انحراف الركبة للداخل (left) - تجنب انحراف الركبة
23,77.5,jump_header,انحراف الركبة للداخل (left) - تجنب انحراف الركبة
24,70.1,jump_header,انحراف الركبة للداخل (left) - تجنب انحراف الركبة
25,72.7,jump_header,انحراف الركبة للداخل (left) - تجنب انحراف الركبة
26,75.6,jump_header,
27,72.5,jump_header,
28,69.3,jump_header,
29,69.6,jump_header,وضعية غير مستقرة
30,64.4,jump_header,
31,64.0,jump_header,
32,54.8,jump_header,انحراف الركبة للداخل (right) - تجنب انحراف الركبة
33,51.5,jump_header,انحراف الركبة للداخل (right) - تجنب انحراف الركبة
34,46.5,jump_header,انحراف الركبة للداخل (right) - تجنب انحراف الركبة
35,46.6,jump_header,انحراف الركبة للداخل (right) - تجنب انحراف الركبة
36,50.5,jump_header,انحراف الركبة للداخل (right) - تجنب انحراف الركبة
37,52.2,jump_header,انحراف الركبة للداخل (right) - تجنب انحراف الركبة
38,0.0,jump_header,لا يوجد جسم مُكتشف - تأكد من ظهور الجسم بالكامل في الإطار
39,74.2,jump_header,
40,75.3,jump_header,
41,75.7,jump_header,
42,81.6,jump_header,
43,82.1,jump_header,
44,83.5,jump_header,
45,83.6,jump_header,
