Section,Key,Value
Summary,sport,Football (Soccer)
Summary,total_frames,224
Summary,overall_score,7.1
Summary,errors,Knee valgus (left) - keep knees aligned over toes; Unstable posture; Knee valgus (right) - keep knees aligned over toes; No body detected - ensure full body is visible in frame

Frame,overall_score,movement,errors
0,73.4,general,Knee valgus (left) - keep knees aligned over toes
1,69.1,general,Knee valgus (left) - keep knees aligned over toes
2,70.3,general,Knee valgus (left) - keep knees aligned over toes
3,68.9,general,Knee valgus (left) - keep knees aligned over toes
4,69.9,swing,Knee valgus (left) - keep knees aligned over toes
5,75.3,swing,Knee valgus (left) - keep knees aligned over toes
6,76.4,swing,Knee valgus (left) - keep knees aligned over toes
7,75.3,swing,Knee valgus (left) - keep knees aligned over toes
8,74.6,swing,Knee valgus (left) - keep knees aligned over toes
9,66.9,swing,Knee valgus (left) - keep knees aligned over toes
10,62.7,swing,Knee valgus (left) - keep knees aligned over toes
11,56.7,swing,Knee valgus (left) - keep knees aligned over toes
12,84.8,jump_header,Knee valgus (left) - keep knees aligned over toes
13,84.4,jump_header,Knee valgus (left) - keep knees aligned over toes
14,81.8,jump_header,Knee valgus (left) - keep knees aligned over toes
15,81.6,jump_header,Knee valgus (left) - keep knees aligned over toes
16,83.2,jump_header,
17,78.7,jump_header,Unstable posture
18,61.1,jump_header,Unstable posture
19,60.3,jump_header,Unstable posture
20,56.8,jump_header,Knee valgus (left) - keep knees aligned over toes; Unstable posture
21,58.0,jump_header,Knee valgus (left) - keep knees aligned over toes
22,72.9,jump_header,Knee valgus (left) - keep knees aligned over toes
23,72.7,jump_header,Knee valgus (left) - keep knees aligned over toes
24,72.0,jump_header,Knee valgus (left) - keep knees aligned over toes
25,73.7,jump_header,Knee valgus (left) - keep knees aligned over toes
26,74.8,jump_header,
27,72.0,jump_header,Unstable posture
28,69.4,jump_header,Unstable posture
29,69.6,jump_header,Unstable posture
30,64.4,jump_header,
31,55.4,jump_header,Knee valgus (right) - keep knees aligned over toes
32,51.5,jump_header,Knee valgus (right) - keep knees aligned over toes
33,47.2,jump_header,Knee valgus (right) - keep knees aligned over toes
34,50.3,jump_header,Knee valgus (right) - keep knees aligned over toes
35,51.5,jump_header,Knee valgus (right) - keep knees aligned over toes; Unstable posture
36,53.6,jump_header,Knee valgus (right) - keep knees aligned over toes; Unstable posture
37,53.1,jump_header,Knee valgus (right) - keep knees aligned over toes; Unstable posture
38,0.0,jump_header,No body detected - ensure full body is visible in frame
39,77.4,jump_header,
40,76.8,jump_header,
41,76.6,jump_header,
42,81.9,jump_header,
43,81.6,jump_header,
44,83.6,jump_header,
45,83.3,jump_header,
46,83.2,jump_header,
47,75.4,jump_header,
48,68.3,jump_header,Unstable posture
49,55.6,jump_header,Knee valgus (left) - keep knees aligned over toes
50,56.8,jump_header,Knee valgus (left) - keep knees aligned over toes
51,78.9,jump_header,Knee valgus (left) - keep knees aligned over toes
52,80.0,jump_header,Knee valgus (left) - keep knees aligned over toes
53,87.0,jump_header,Knee valgus (left) - keep knees aligned over toes
54,85.1,jump_header,Knee valgus (left) - keep knees aligned over toes
55,74.6,jump_header,Knee valgus (left) - keep knees aligned over toes
56,83.1,jump_header,Knee valgus (left) - keep knees aligned over toes
57,81.4,jump_header,Knee valgus (left) - keep knees aligned over toes
58,81.7,jump_header,Knee valgus (left) - keep knees aligned over toes
59,79.8,jump_header,Knee valgus (left) - keep knees aligned over toes
60,80.8,jump_header,Knee valgus (left) - keep knees aligned over toes
61,70.9,jump_header,Knee valgus (left) - keep knees aligned over toes
62,83.9,jump_header,Knee valgus (left) - keep knees aligned over toes
63,79.9,jump_header,Knee valgus (left) - keep knees aligned over toes
64,79.3,jump_header,Knee valgus (left) - keep knees aligned over toes
65,88.7,jump_header,
66,87.3,jump_header,
67,82.1,jump_header,Knee valgus (left) - keep knees aligned over toes
68,79.8,jump_header,Knee valgus (left) - keep knees aligned over toes
69,75.0,jump_header,Knee valgus (left) - keep knees aligned over toes
70,74.0,jump_header,Knee valgus (left) - keep knees aligned over toes
71,72.2,jump_header,Knee valgus (left) - keep knees aligned over toes
72,75.2,jump_header,Knee valgus (left) - keep knees aligned over toes
73,80.1,jump_header,
74,78.6,jump_header,
75,74.7,jump_header,
76,75.1,jump_header,
77,70.1,jump_header,
78,67.0,jump_header,
79,60.4,jump_header,
80,57.9,jump_header,
81,60.3,jump_header,
82,60.1,jump_header,
83,72.9,jump_header,
84,70.7,jump_header,
85,71.3,jump_header,
86,71.7,jump_header,
87,78.3,jump_header,
88,72.9,jump_header,
89,61.0,jump_header,Knee valgus (right) - keep knees aligned over toes
90,53.7,jump_header,Knee valgus (right) - keep knees aligned over toes
91,74.0,jump_header,Knee valgus (right) - keep knees aligned over toes
92,74.0,jump_header,Knee valgus (right) - keep knees aligned over toes
93,60.6,jump_header,Knee valgus (right) - keep knees aligned over toes
94,57.8,jump_header,Knee valgus (right) - keep knees aligned over toes
95,65.1,jump_header,Knee valgus (right) - keep knees aligned over toes
96,68.8,jump_header,Knee valgus (right) - keep knees aligned over toes
97,71.1,jump_header,Knee valgus (right) - keep knees aligned over toes
98,74.7,jump_header,Knee valgus (right) - keep knees aligned over toes
99,61.2,jump_header,Knee valgus (right) - keep knees aligned over toes
100,62.4,jump_header,Knee valgus (right) - keep knees aligned over toes
101,61.6,jump_header,Knee valgus (right) - keep knees aligned over toes
102,0.0,jump_header,No body detected - ensure full body is visible in frame
103,84.1,jump_header,Knee valgus (left) - keep knees aligned over toes
104,84.6,jump_header,Knee valgus (left) - keep knees aligned over toes
105,83.8,jump_header,Knee valgus (left) - keep knees aligned over toes
106,82.1,jump_header,Knee valgus (left) - keep knees aligned over toes
107,82.6,jump_header,Knee valgus (left) - keep knees aligned over toes
108,82.5,jump_header,Knee valgus (left) - keep knees aligned over toes
109,82.8,jump_header,Knee valgus (left) - keep knees aligned over toes
110,94.3,jump_header,
111,94.6,jump_header,
112,89.6,jump_header,
113,90.1,jump_header,
114,81.9,jump_header,
115,79.5,jump_header,
116,71.0,jump_header,Knee valgus (left) - keep knees aligned over toes
117,70.8,jump_header,Knee valgus (left) - keep knees aligned over toes
118,83.5,jump_header,Knee valgus (left) - keep knees aligned over toes
119,84.0,jump_header,Knee valgus (left) - keep knees aligned over toes
120,86.3,jump_header,Knee valgus (left) - keep knees aligned over toes
121,86.1,jump_header,Knee valgus (left) - keep knees aligned over toes
122,82.3,jump_header,Knee valgus (left) - keep knees aligned over toes
123,83.1,jump_header,Knee valgus (left) - keep knees aligned over toes
124,78.5,jump_header,Knee valgus (left) - keep knees aligned over toes
125,84.6,jump_header,
126,82.0,jump_header,
127,75.0,jump_header,
128,54.8,jump_header,Knee valgus (right) - keep knees aligned over toes
129,46.0,jump_header,Knee valgus (right) - keep knees aligned over toes
130,47.1,jump_header,Knee valgus (right) - keep knees aligned over toes
131,57.4,jump_header,
132,67.4,jump_header,
133,61.7,jump_header,
134,56.6,jump_header,Knee valgus (right) - keep knees aligned over toes
135,58.4,jump_header,Knee valgus (right) - keep knees aligned over toes
136,56.4,jump_header,Knee valgus (right) - keep knees aligned over toes
137,52.2,jump_header,Knee valgus (right) - keep knees aligned over toes; Unstable posture
138,46.3,jump_header,Knee valgus (right) - keep knees aligned over toes; Unstable posture
139,51.4,jump_header,Knee valgus (right) - keep knees aligned over toes
140,65.3,jump_header,Knee valgus (right) - keep knees aligned over toes
141,78.2,jump_header,Knee valgus (right) - keep knees aligned over toes
142,86.6,jump_header,Knee valgus (right) - keep knees aligned over toes
143,64.0,jump_header,Knee valgus (right) - keep knees aligned over toes
144,59.6,jump_header,Knee valgus (right) - keep knees aligned over toes
145,66.9,jump_header,Knee valgus (left) - keep knees aligned over toes
146,73.9,jump_header,Knee valgus (left) - keep knees aligned over toes
147,80.2,jump_header,Knee valgus (left) - keep knees aligned over toes
148,75.8,jump_header,Knee valgus (left) - keep knees aligned over toes
149,80.1,jump_header,Knee valgus (left) - keep knees aligned over toes
150,78.5,jump_header,Knee valgus (left) - keep knees aligned over toes
151,73.6,jump_header,Knee valgus (left) - keep knees aligned over toes
152,86.3,jump_header,
153,78.5,jump_header,
154,79.5,jump_header,
155,73.5,jump_header,
156,71.3,jump_header,
157,71.6,jump_header,
158,70.5,jump_header,
159,72.5,jump_header,
160,70.5,jump_header,
161,65.3,jump_header,
162,67.4,jump_header,
163,74.3,jump_header,
164,73.8,jump_header,
165,82.6,jump_header,
166,81.7,jump_header,
167,75.1,jump_header,Knee valgus (left) - keep knees aligned over toes
168,74.0,jump_header,Knee valgus (left) - keep knees aligned over toes
169,67.3,jump_header,Knee valgus (left) - keep knees aligned over toes
170,66.1,jump_header,Knee valgus (left) - keep knees aligned over toes
171,59.9,jump_header,Knee valgus (left) - keep knees aligned over toes
172,58.0,jump_header,Knee valgus (left) - keep knees aligned over toes
173,50.0,jump_header,Knee valgus (left) - keep knees aligned over toes; Unstable posture
174,50.4,jump_header,Knee valgus (left) - keep knees aligned over toes; Unstable posture
175,46.3,jump_header,Knee valgus (left) - keep knees aligned over toes; Unstable posture
176,45.2,jump_header,Knee valgus (left) - keep knees aligned over toes; Unstable posture
177,52.3,jump_header,Knee valgus (left) - keep knees aligned over toes; Unstable posture
178,62.8,jump_header,Knee valgus (left) - keep knees aligned over toes; Unstable posture
179,66.4,jump_header,Knee valgus (left) - keep knees aligned over toes
180,66.3,jump_header,Knee valgus (left) - keep knees aligned over toes
181,58.4,jump_header,Knee valgus (left) - keep knees aligned over toes
182,57.7,jump_header,Knee valgus (left) - keep knees aligned over toes
183,57.0,jump_header,Knee valgus (left) - keep knees aligned over toes; Unstable posture
184,64.8,jump_header,Knee valgus (left) - keep knees aligned over toes; Unstable posture
185,82.4,jump_header,
186,75.6,jump_header,
187,72.5,jump_header,
188,70.9,jump_header,
189,78.9,jump_header,
190,75.3,jump_header,
191,69.9,jump_header,Knee valgus (right) - keep knees aligned over toes
192,68.1,jump_header,Knee valgus (right) - keep knees aligned over toes
193,60.4,jump_header,Knee valgus (right) - keep knees aligned over toes
194,59.4,jump_header,Knee valgus (right) - keep knees aligned over toes
195,70.2,jump_header,Knee valgus (right) - keep knees aligned over toes
196,68.1,jump_header,Knee valgus (right) - keep knees aligned over toes
197,67.6,jump_header,Knee valgus (right) - keep knees aligned over toes
198,66.2,jump_header,
199,66.3,jump_header,Knee valgus (right) - keep knees aligned over toes
200,66.2,jump_header,Knee valgus (right) - keep knees aligned over toes
201,65.6,jump_header,Knee valgus (right) - keep knees aligned over toes
202,65.3,jump_header,Knee valgus (right) - keep knees aligned over toes
203,0.0,jump_header,No body detected - ensure full body is visible in frame
204,66.6,jump_header,Knee valgus (left) - keep knees aligned over toes
205,72.4,jump_header,Knee valgus (left) - keep knees aligned over toes
206,87.0,jump_header,Knee valgus (left) - keep knees aligned over toes
207,85.5,jump_header,Knee valgus (left) - keep knees aligned over toes
208,85.6,jump_header,Knee valgus (left) - keep knees aligned over toes
209,83.8,jump_header,Knee valgus (left) - keep knees aligned over toes
210,87.1,jump_header,Knee valgus (left) - keep knees aligned over toes
211,87.2,jump_header,Knee valgus (left) - keep knees aligned over toes
212,83.4,jump_header,Knee valgus (left) - keep knees aligned over toes
213,83.9,jump_header,Knee valgus (left) - keep knees aligned over toes
