Section,Key,Value
Summary,sport,Tennis
Summary,total_frames,200
Summary,overall_score,8.3
Summary,errors,Shoulder imbalance; Limited rotation - drive hips and shoulders together

Frame,overall_score,movement,errors
0,73.5,general,
1,73.0,general,
2,73.9,general,
3,74.3,general,
4,78.0,general,
5,78.2,general,
6,79.8,general,
7,80.1,general,
8,81.1,general,
9,81.3,general,
10,82.2,general,
11,82.5,general,
12,82.3,general,
13,82.5,general,
14,81.5,general,
15,78.1,general,
16,78.4,general,
17,79.3,general,
18,80.0,general,
19,81.4,general,
20,81.1,general,
21,85.0,general,
22,84.8,general,
23,84.1,general,
24,84.5,general,
25,85.8,general,
26,86.0,general,
27,86.3,general,
28,86.8,general,
29,87.4,general,
30,87.9,general,
31,88.5,general,
32,88.7,general,
33,89.1,general,
34,89.5,general,
35,89.6,general,
36,89.8,general,
37,90.0,general,
38,90.3,general,
39,90.8,general,
40,91.0,general,
41,90.9,general,
42,90.3,general,
43,89.2,general,
44,88.8,general,
45,88.3,general,
46,87.8,general,
47,87.4,general,
48,86.6,general,
49,79.1,forehand,Shoulder imbalance; Limited rotation - drive hips and shoulders together
50,78.3,forehand,Shoulder imbalance; Limited rotation - drive hips and shoulders together
51,70.0,forehand,Shoulder imbalance; Limited rotation - drive hips and shoulders together
52,75.7,forehand,Shoulder imbalance; Limited rotation - drive hips and shoulders together
53,72.2,forehand,Shoulder imbalance; Limited rotation - drive hips and shoulders together
54,81.7,forehand,Shoulder imbalance; Limited rotation - drive hips and shoulders together
55,71.7,forehand,Shoulder imbalance; Limited rotation - drive hips and shoulders together
56,73.8,forehand,Limited rotation - drive hips and shoulders together
57,71.4,forehand,Limited rotation - drive hips and shoulders together
58,74.2,forehand,Limited rotation - drive hips and shoulders together
59,74.5,forehand,Limited rotation - drive hips and shoulders together
60,75.4,forehand,Limited rotation - drive hips and shoulders together
61,76.5,punch,Limited rotation - drive hips and shoulders together
62,77.3,punch,Limited rotation - drive hips and shoulders together
63,78.2,punch,Limited rotation - drive hips and shoulders together
64,78.5,punch,Limited rotation - drive hips and shoulders together
65,78.2,punch,Limited rotation - drive hips and shoulders together
66,78.1,punch,Limited rotation - drive hips and shoulders together
67,77.8,punch,Limited rotation - drive hips and shoulders together
68,77.3,punch,Limited rotation - drive hips and shoulders together
69,76.3,punch,Limited rotation - drive hips and shoulders together
70,76.1,punch,Limited rotation - drive hips and shoulders together
71,75.2,punch,Limited rotation - drive hips and shoulders together
72,73.8,punch,Limited rotation - drive hips and shoulders together
73,72.6,punch,Limited rotation - drive hips and shoulders together
74,71.8,punch,Limited rotation - drive hips and shoulders together
75,72.3,punch,Limited rotation - drive hips and shoulders together
76,72.1,punch,Limited rotation - drive hips and shoulders together
77,72.5,punch,Limited rotation - drive hips and shoulders together
78,80.1,punch,Limited rotation - drive hips and shoulders together
79,79.7,punch,Limited rotation - drive hips and shoulders together
80,79.0,punch,Limited rotation - drive hips and shoulders together
81,79.6,punch,Limited rotation - drive hips and shoulders together
82,81.9,punch,Limited rotation - drive hips and shoulders together
83,83.3,jump,
84,83.9,jump,
85,83.7,jump,
86,83.5,jump,
87,83.3,jump,
88,83.4,jump,
89,77.0,jump,
90,78.2,jump,
91,80.1,jump,
92,82.9,jump,
93,85.5,jump,
94,86.4,jump,
95,85.9,jump,
96,84.6,jump,
97,83.9,jump,
98,83.2,jump,
99,82.8,jump,
100,83.6,jump,
101,83.1,jump,
102,84.1,jump,
103,85.2,jump,
104,85.8,jump,
105,85.9,jump,
106,86.1,jump,
107,85.8,jump,
108,85.6,jump,
109,85.6,jump,
110,85.4,jump,
111,85.2,jump,
112,85.0,jump,
113,84.8,jump,
114,84.5,jump,
115,84.4,jump,
116,84.5,jump,
117,84.4,jump,
118,84.5,jump,
119,84.6,jump,
120,84.6,general,
121,84.6,general,
122,84.7,general,
123,84.7,general,
124,84.7,general,
125,84.7,general,
126,84.6,general,
127,84.7,general,
128,84.8,general,
129,84.9,general,
130,85.1,general,
131,85.3,general,
132,85.4,general,
133,85.4,general,
134,85.3,general,
135,84.8,general,
136,84.0,general,
137,83.5,general,
138,83.1,general,
139,83.2,general,
140,83.3,general,
141,83.4,general,
142,85.0,general,
143,85.5,general,
144,85.4,general,
145,85.5,general,
146,85.4,general,
147,85.2,general,
148,86.1,general,
149,87.6,general,
150,87.5,general,
151,87.4,general,
152,87.4,general,
153,87.5,general,
154,87.6,general,
155,86.9,general,
156,86.9,general,
157,85.7,general,
158,85.5,general,
159,85.5,general,
160,85.4,general,
161,86.0,general,
162,86.5,general,
163,86.0,general,
164,85.9,general,
165,85.5,general,
166,85.8,general,
167,85.8,general,
168,85.4,general,
169,86.1,general,
170,86.1,general,
171,86.2,general,
172,86.4,general,
173,86.6,general,
174,86.3,general,
175,86.4,general,
176,86.5,general,
177,86.1,general,
178,86.0,general,
179,85.8,general,
180,85.4,general,
181,85.3,general,
182,84.8,general,
183,84.7,general,
184,84.7,general,
185,84.8,general,
186,84.5,general,
187,84.4,general,
188,84.5,general,
189,84.4,general,
190,84.6,general,
191,84.5,general,
192,83.9,general,
193,83.8,general,
194,83.6,general,
195,83.7,general,
196,83.4,general,
197,83.2,general,
198,83.1,general,
199,82.7,general,
