Section,Key,Value
Summary,sport,Football (Soccer)
Summary,total_frames,30
Summary,overall_score,0.0
Summary,errors,No body detected - ensure full body is visible in frame

Frame,overall_score,movement,errors
0,0.0,general,No body detected - ensure full body is visible in frame
1,0.0,general,No body detected - ensure full body is visible in frame
2,0.0,general,No body detected - ensure full body is visible in frame
3,0.0,general,No body detected - ensure full body is visible in frame
4,0.0,general,No body detected - ensure full body is visible in frame
5,0.0,general,No body detected - ensure full body is visible in frame
6,0.0,general,No body detected - ensure full body is visible in frame
7,0.0,general,No body detected - ensure full body is visible in frame
8,0.0,general,No body detected - ensure full body is visible in frame
9,0.0,general,No body detected - ensure full body is visible in frame
10,0.0,general,No body detected - ensure full body is visible in frame
11,0.0,general,No body detected - ensure full body is visible in frame
12,0.0,general,No body detected - ensure full body is visible in frame
13,0.0,general,No body detected - ensure full body is visible in frame
14,0.0,general,No body detected - ensure full body is visible in frame
15,0.0,general,No body detected - ensure full body is visible in frame
16,0.0,general,No body detected - ensure full body is visible in frame
17,0.0,general,No body detected - ensure full body is visible in frame
18,0.0,general,No body detected - ensure full body is visible in frame
19,0.0,general,No body detected - ensure full body is visible in frame
20,0.0,general,No body detected - ensure full body is visible in frame
21,0.0,general,No body detected - ensure full body is visible in frame
22,0.0,general,No body detected - ensure full body is visible in frame
23,0.0,general,No body detected - ensure full body is visible in frame
24,0.0,general,No body detected - ensure full body is visible in frame
25,0.0,general,No body detected - ensure full body is visible in frame
26,0.0,general,No body detected - ensure full body is visible in frame
27,0.0,general,No body detected - ensure full body is visible in frame
28,0.0,general,No body detected - ensure full body is visible in frame
29,0.0,general,No body detected - ensure full body is visible in frame

References & Sources,,
Note,All evaluations and advice are based on:,
,"Scientific research, official federations, recognized institutions.",
Source,1,FIFA Football Medicine Manual (FIFA) – Official guidelines for football technique and injury prevention.
Source,2,Knee Valgus in Football – Knee alignment research for striking and landing.
Source,3,Biomechanics of Sport and Exercise (Peter M. McGinnis) – Standard reference for joint angles and movement analysis.
Source,4,Sports Biomechanics (Roger Bartlett) – Scientific basis for performance evaluation.
